Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,BMW SUBCOMPACT 2.0L,SUBCOMPACT,2.0,4,AS6,X,9.0,5.4,7.8,36,182
Ford,Ford FULL-SIZE 3.0L,FULL-SIZE,3.0,6,AS8,X,12.7,6.1,10.5,27,250
Ford,Ford SUV 6.2L,SUV - STANDARD,6.2,8,AS6,X,20.2,13.9,18.1,16,424
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,AS10,X,9.2,3.8,7.4,38,176
BMW,BMW FULL-SIZE 3.0L,FULL-SIZE,3.0,6,A8,X,12.6,8.7,11.3,25,268
Jeep,Jeep PICKUP 3.5L,PICKUP TRUCK - STANDARD,3.5,6,AV,E,21.6,9.0,17.4,16,284
Chevrolet,Chevrolet SUV 6.2L,SUV - STANDARD,6.2,8,AS10,E,27.8,16.4,24.0,12,396
Honda,Honda SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,A8,X,10.9,6.4,9.4,30,217
Hyundai,Hyundai SUBCOMPACT 4.0L,SUBCOMPACT,4.0,8,AS10,Z,16.4,11.3,14.7,19,341
Nissan,Nissan MID-SIZE 2.5L,MID-SIZE,2.5,4,M5,D,9.5,5.0,8.0,35,220
Toyota,Toyota COMPACT 2.5L,COMPACT,2.5,4,M5,Z,11.2,6.7,9.7,29,221
Mercedes-Benz,Mercedes-Benz MINIVAN 3.5L,MINIVAN,3.5,6,A8,X,16.4,7.7,13.5,21,318
BMW,BMW MINIVAN 1.8L,MINIVAN,1.8,4,AS8,Z,11.1,4.8,9.0,31,208
Subaru,Subaru STATION 3.6L,STATION WAGON - SMALL,3.6,6,M6,X,14.8,8.2,12.6,22,300
GMC,GMC MID-SIZE 1.8L,MID-SIZE,1.8,4,AV,X,10.0,5.2,8.4,34,195
Ram,Ram MID-SIZE 4.0L,MID-SIZE,4.0,8,M5,Z,18.3,11.7,16.1,18,383
Ford,Ford VAN 3.0L,VAN - PASSENGER,3.0,6,M6,Z,13.5,8.1,11.7,24,275
Volkswagen,Volkswagen SUBCOMPACT 3.6L,SUBCOMPACT,3.6,6,AS10,X,14.1,9.6,12.6,22,298
Subaru,Subaru SUBCOMPACT 2.0L,SUBCOMPACT,2.0,4,A8,N,9.7,6.7,8.7,32,160
Chevrolet,Chevrolet SUV 6.2L,SUV - STANDARD,6.2,8,AS10,E,27.8,18.5,24.7,11,407
Ford,Ford VAN 5.3L,VAN - PASSENGER,5.3,8,A8,X,20.2,12.1,17.5,16,412
Volkswagen,Volkswagen FULL-SIZE 2.4L,FULL-SIZE,2.4,4,A9,X,10.7,5.6,9.0,31,209
Audi,Audi SUBCOMPACT 5.0L,SUBCOMPACT,5.0,8,AV,X,19.1,10.4,16.2,17,390
GMC,GMC STATION 3.6L,STATION WAGON - SMALL,3.6,6,A9,Z,14.2,10.0,12.8,22,291
Ford,Ford SUV 3.0L,SUV - STANDARD,3.0,6,M5,Z,16.2,6.9,13.1,22,306
Jeep,Jeep COMPACT 3.6L,COMPACT,3.6,6,AV,Z,14.6,10.1,13.1,22,313
Chevrolet,Chevrolet SUV 3.6L,SUV - SMALL,3.6,6,A6,X,14.6,7.7,12.3,23,289
Chevrolet,Chevrolet PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,A6,X,15.3,6.6,12.4,23,290
Chevrolet,Chevrolet SUV 5.3L,SUV - STANDARD,5.3,8,AS10,X,20.9,10.4,17.4,16,409
Jeep,Jeep PICKUP 4.0L,PICKUP TRUCK - STANDARD,4.0,8,A9,E,22.9,12.4,19.4,15,324
Honda,Honda COMPACT 4.0L,COMPACT,4.0,8,A6,X,17.9,7.1,14.3,20,343
Toyota,Toyota SUBCOMPACT 3.5L,SUBCOMPACT,3.5,6,AV,Z,15.8,7.4,13.0,22,302
BMW,BMW VAN 1.5L,VAN - CARGO,1.5,4,AS10,Z,10.9,5.5,9.1,31,213
Dodge,Dodge SUV 1.8L,SUV - SMALL,1.8,4,AS10,Z,9.6,5.4,8.2,34,188
Mercedes-Benz,Mercedes-Benz SUV 4.0L,SUV - STANDARD,4.0,8,A6,X,15.7,9.1,13.5,21,315
Jeep,Jeep PICKUP 4.0L,PICKUP TRUCK - STANDARD,4.0,8,AV,Z,16.6,11.8,15.0,19,354
Mercedes-Benz,Mercedes-Benz TWO-SEATER 3.0L,TWO-SEATER,3.0,6,AM7,X,14.5,7.0,12.0,24,276
Mercedes-Benz,Mercedes-Benz TWO-SEATER 5.0L,TWO-SEATER,5.0,8,AM7,Z,20.2,10.9,17.1,17,408
Toyota,Toyota STATION 4.0L,STATION WAGON - SMALL,4.0,8,AV,X,18.6,7.5,14.9,19,359
BMW,BMW SUV 3.6L,SUV - SMALL,3.6,6,AV,X,13.8,9.6,12.4,23,292
Volkswagen,Volkswagen VAN 3.0L,VAN - CARGO,3.0,6,AS10,Z,14.5,8.5,12.5,23,289
Toyota,Toyota SUV 3.0L,SUV - STANDARD,3.0,6,AS6,X,14.0,6.8,11.6,24,275
Chevrolet,Chevrolet VAN 3.5L,VAN - PASSENGER,3.5,6,AS6,X,15.8,7.1,12.9,22,308
Lexus,Lexus FULL-SIZE 3.0L,FULL-SIZE,3.0,6,A8,D,12.2,6.5,10.3,27,282
Mercedes-Benz,Mercedes-Benz TWO-SEATER 2.5L,TWO-SEATER,2.5,4,A8,Z,12.0,4.8,9.6,29,219
Audi,Audi MID-SIZE 3.6L,MID-SIZE,3.6,6,A6,Z,14.4,10.2,13.0,22,302
Lexus,Lexus VAN 3.5L,VAN - CARGO,3.5,6,AS6,X,13.9,9.1,12.3,23,289
Nissan,Nissan PICKUP 1.5L,PICKUP TRUCK - STANDARD,1.5,4,M5,X,8.5,4.6,7.2,39,173
Ford,Ford PICKUP 2.0L,PICKUP TRUCK - STANDARD,2.0,4,AS6,X,10.7,5.9,9.1,31,216
Subaru,Subaru MINICOMPACT 1.8L,MINICOMPACT,1.8,4,A6,X,10.2,4.2,8.2,34,202
Nissan,Nissan MINIVAN 3.5L,MINIVAN,3.5,6,AM7,E,20.7,11.1,17.5,16,287
BMW,BMW FULL-SIZE 3.6L,FULL-SIZE,3.6,6,A6,X,14.7,7.2,12.2,23,287
Ford,Ford PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,A6,X,21.3,10.2,17.6,16,417
Jeep,Jeep SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,AS8,Z,9.6,6.9,8.7,32,197
Nissan,Nissan SUBCOMPACT 2.4L,SUBCOMPACT,2.4,4,AS6,E,14.7,7.8,12.4,23,202
Audi,Audi SUV 2.5L,SUV - STANDARD,2.5,4,AS8,X,11.5,7.0,10.0,28,232
Lexus,Lexus PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,AS6,Z,21.0,9.0,17.0,17,398
Hyundai,Hyundai MINIVAN 2.4L,MINIVAN,2.4,4,AS10,X,13.5,5.7,10.9,26,256
Chevrolet,Chevrolet SUV 3.3L,SUV - STANDARD,3.3,6,AS6,X,13.3,8.8,11.8,24,277
BMW,BMW VAN 4.0L,VAN - CARGO,4.0,8,M6,X,16.7,10.4,14.6,19,346
Chevrolet,Chevrolet SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,AS8,Z,10.0,5.5,8.5,33,194
Volkswagen,Volkswagen PICKUP 5.0L,PICKUP TRUCK - SMALL,5.0,8,AS8,Z,20.7,9.0,16.8,17,396
Ford,Ford PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,AV,X,21.3,11.1,17.9,16,422
Audi,Audi TWO-SEATER 5.0L,TWO-SEATER,5.0,8,AV,Z,19.7,10.7,16.7,17,382
Hyundai,Hyundai STATION 2.4L,STATION WAGON - SMALL,2.4,4,M5,Z,12.1,5.5,9.9,29,239
Dodge,Dodge MINICOMPACT 1.5L,MINICOMPACT,1.5,4,AS10,Z,11.0,7.1,9.7,29,224
BMW,BMW VAN 5.0L,VAN - PASSENGER,5.0,8,M6,Z,19.9,13.9,17.9,16,424
Jeep,Jeep VAN 2.4L,VAN - PASSENGER,2.4,4,A9,E,14.3,9.5,12.7,22,213
Ford,Ford PICKUP 1.8L,PICKUP TRUCK - STANDARD,1.8,4,M5,X,10.2,6.0,8.8,32,213
GMC,GMC PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,AS10,E,26.5,16.6,23.2,12,381
Ford,Ford PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,A6,X,18.5,11.9,16.3,17,387
Mercedes-Benz,Mercedes-Benz MID-SIZE 5.0L,MID-SIZE,5.0,8,AS6,Z,19.7,12.2,17.2,16,403
Jeep,Jeep SUV 2.5L,SUV - SMALL,2.5,4,A6,X,11.8,7.6,10.4,27,240
Ford,Ford SUV 3.3L,SUV - STANDARD,3.3,6,M5,X,14.9,7.1,12.3,23,294
Chevrolet,Chevrolet SUV 5.3L,SUV - STANDARD,5.3,8,AS6,X,20.4,12.0,17.6,16,415
Volkswagen,Volkswagen FULL-SIZE 4.0L,FULL-SIZE,4.0,8,AS6,Z,16.6,10.6,14.6,19,346
Volkswagen,Volkswagen MINIVAN 3.6L,MINIVAN,3.6,6,A9,X,13.2,9.0,11.8,24,276
Nissan,Nissan MINICOMPACT 3.5L,MINICOMPACT,3.5,6,A6,X,17.3,7.4,14.0,20,326
Honda,Honda COMPACT 3.5L,COMPACT,3.5,6,AS6,Z,15.4,11.2,14.0,20,330
Audi,Audi SUV 1.5L,SUV - STANDARD,1.5,4,A9,X,8.8,4.3,7.3,39,170
Chevrolet,Chevrolet SUV 5.3L,SUV - STANDARD,5.3,8,AS10,E,27.8,12.2,22.6,12,369
BMW,BMW SUV 5.0L,SUV - SMALL,5.0,8,A9,E,24.6,13.2,20.8,14,340
Chevrolet,Chevrolet TWO-SEATER 3.5L,TWO-SEATER,3.5,6,A9,X,15.1,6.4,12.2,23,285
Lexus,Lexus VAN 4.0L,VAN - PASSENGER,4.0,8,AS6,X,16.1,10.1,14.1,20,330
Audi,Audi VAN 4.0L,VAN - CARGO,4.0,8,AS8,E,22.5,13.8,19.6,14,322
Mercedes-Benz,Mercedes-Benz VAN 2.5L,VAN - PASSENGER,2.5,4,AV,Z,12.4,8.2,11.0,26,260
Toyota,Toyota MINIVAN 2.5L,MINIVAN,2.5,4,M5,X,11.4,6.3,9.7,29,226
Porsche,Porsche VAN 1.5L,VAN - PASSENGER,1.5,4,M5,Z,9.9,5.7,8.5,33,204
Chevrolet,Chevrolet SUV 2.4L,SUV - SMALL,2.4,4,AM7,X,10.6,4.3,8.5,33,199
Audi,Audi MINIVAN 1.5L,MINIVAN,1.5,4,M5,Z,10.6,4.9,8.7,32,196
Toyota,Toyota STATION 1.5L,STATION WAGON - SMALL,1.5,4,A8,Z,8.7,5.7,7.7,37,181
Nissan,Nissan STATION 3.0L,STATION WAGON - SMALL,3.0,6,A9,E,19.8,8.4,16.0,18,266
Ford,Ford SUV 6.2L,SUV - STANDARD,6.2,8,A8,X,21.9,9.0,17.6,16,414
Dodge,Dodge MID-SIZE 3.6L,MID-SIZE,3.6,6,AM7,X,15.0,9.0,13.0,22,305
Subaru,Subaru PICKUP 2.0L,PICKUP TRUCK - SMALL,2.0,4,AS8,Z,12.6,6.0,10.4,27,251
Audi,Audi MINICOMPACT 1.8L,MINICOMPACT,1.8,3,M5,X,9.4,5.5,8.1,35,182
Honda,Honda STATION 2.4L,STATION WAGON - SMALL,2.4,4,A6,X,10.7,7.7,9.7,29,229
Subaru,Subaru TWO-SEATER 4.0L,TWO-SEATER,4.0,8,A6,Z,16.1,9.5,13.9,20,328
Volkswagen,Volkswagen MINICOMPACT 1.8L,MINICOMPACT,1.8,4,M6,D,9.4,5.8,8.2,34,218
Chevrolet,Chevrolet MID-SIZE 4.0L,MID-SIZE,4.0,8,AV,X,16.8,7.8,13.8,20,328
Audi,Audi STATION 4.0L,STATION WAGON - SMALL,4.0,8,M6,X,17.1,8.7,14.3,20,341
Nissan,Nissan COMPACT 4.0L,COMPACT,4.0,8,AS8,Z,18.4,7.9,14.9,19,341
Mercedes-Benz,Mercedes-Benz TWO-SEATER 5.0L,TWO-SEATER,5.0,8,A8,X,17.2,11.2,15.2,19,356
Volkswagen,Volkswagen COMPACT 3.6L,COMPACT,3.6,6,AV,X,16.1,7.1,13.1,22,305
Subaru,Subaru VAN 2.5L,VAN - PASSENGER,2.5,4,AS8,D,8.9,5.9,7.9,36,208
Subaru,Subaru SUV 3.6L,SUV - STANDARD,3.6,6,AS10,E,20.9,9.2,17.0,17,281
Toyota,Toyota PICKUP 2.4L,PICKUP TRUCK - SMALL,2.4,4,A9,X,10.5,5.1,8.7,32,201
Ford,Ford PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,M5,X,13.4,6.2,11.0,26,257
Bugatti,Bugatti COMPACT 6.2L,COMPACT,6.2,12,AV,Z,25.4,13.7,21.5,13,499
GMC,GMC VAN 1.5L,VAN - CARGO,1.5,4,A8,X,9.1,6.4,8.2,34,192
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,AM7,X,18.4,10.0,15.6,18,361
Subaru,Subaru SUV 3.0L,SUV - SMALL,3.0,6,A8,D,11.5,5.2,9.4,30,250
Dodge,Dodge PICKUP 1.5L,PICKUP TRUCK - STANDARD,1.5,4,M5,X,8.8,5.2,7.6,37,179
Toyota,Toyota VAN 3.0L,VAN - PASSENGER,3.0,6,A9,X,13.3,6.7,11.1,25,259
Nissan,Nissan SUV 3.0L,SUV - STANDARD,3.0,6,A9,Z,14.2,8.8,12.4,23,293
Mercedes-Benz,Mercedes-Benz MINIVAN 3.5L,MINIVAN,3.5,6,AV,Z,14.1,9.9,12.7,22,295
Ford,Ford VAN 3.3L,VAN - PASSENGER,3.3,6,M6,X,14.4,9.3,12.7,22,301
BMW,BMW PICKUP 4.0L,PICKUP TRUCK - SMALL,4.0,8,AM7,X,16.1,9.5,13.9,20,332
Jeep,Jeep PICKUP 2.0L,PICKUP TRUCK - STANDARD,2.0,4,AS8,X,11.0,5.3,9.1,31,209
Ford,Ford MINIVAN 4.0L,MINIVAN,4.0,8,M6,X,17.2,8.2,14.2,20,335
BMW,BMW MINICOMPACT 1.8L,MINICOMPACT,1.8,4,A6,Z,10.7,4.4,8.6,33,202
Mercedes-Benz,Mercedes-Benz COMPACT 1.5L,COMPACT,1.5,3,M5,Z,9.8,5.6,8.4,34,192
Audi,Audi SUBCOMPACT 1.8L,SUBCOMPACT,1.8,4,A9,E,13.4,6.8,11.2,25,190
Lexus,Lexus MINICOMPACT 1.8L,MINICOMPACT,1.8,4,AS6,Z,10.2,5.7,8.7,32,206
BMW,BMW SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,M6,X,9.7,6.7,8.7,32,192
BMW,BMW VAN 1.5L,VAN - CARGO,1.5,4,M5,E,12.1,7.6,10.6,27,175
Volkswagen,Volkswagen PICKUP 3.6L,PICKUP TRUCK - STANDARD,3.6,6,AS10,X,13.4,8.9,11.9,24,280
Toyota,Toyota PICKUP 1.5L,PICKUP TRUCK - STANDARD,1.5,3,AM7,Z,8.4,4.5,7.1,40,167
Chevrolet,Chevrolet SUV 2.7L,SUV - STANDARD,2.7,6,A6,E,17.1,9.6,14.6,19,235
Toyota,Toyota TWO-SEATER 1.8L,TWO-SEATER,1.8,4,AV,Z,9.6,6.6,8.6,33,201
Ford,Ford PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,M5,X,18.6,13.2,16.8,17,396
Chevrolet,Chevrolet VAN 1.5L,VAN - PASSENGER,1.5,4,A6,X,7.9,5.5,7.1,40,170
Toyota,Toyota MINICOMPACT 5.0L,MINICOMPACT,5.0,8,A6,X,17.4,12.0,15.6,18,369
Mercedes-Benz,Mercedes-Benz SUV 2.5L,SUV - STANDARD,2.5,4,AS8,Z,12.0,5.7,9.9,29,234
Lexus,Lexus VAN 3.6L,VAN - PASSENGER,3.6,6,M6,Z,14.4,10.2,13.0,22,295
BMW,BMW MID-SIZE 1.5L,MID-SIZE,1.5,4,A6,E,12.9,6.9,10.9,26,183
Audi,Audi FULL-SIZE 3.5L,FULL-SIZE,3.5,6,A9,Z,16.3,8.2,13.6,21,323
Nissan,Nissan SUV 2.5L,SUV - STANDARD,2.5,4,A9,X,11.8,7.6,10.4,27,248
Ford,Ford VAN 2.7L,VAN - PASSENGER,2.7,6,AM7,X,13.3,6.1,10.9,26,258
Honda,Honda SUV 3.0L,SUV - STANDARD,3.0,6,AS8,X,13.4,6.8,11.2,25,269
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,AV,X,13.1,5.6,10.6,27,253
Ram,Ram VAN 3.5L,VAN - PASSENGER,3.5,6,M5,E,21.0,8.4,16.8,17,274
Ford,Ford SUV 5.0L,SUV - STANDARD,5.0,8,AS8,X,20.5,9.7,16.9,17,395
Mercedes-Benz,Mercedes-Benz MINICOMPACT 5.0L,MINICOMPACT,5.0,8,A8,E,26.0,13.4,21.8,13,350
Ford,Ford SUV 2.7L,SUV - STANDARD,2.7,6,A6,X,12.4,7.9,10.9,26,258
Smart,Smart TWO-SEATER 1.0L,TWO-SEATER,1.0,3,AS10,X,8.6,4.4,7.2,39,166
Toyota,Toyota STATION 3.5L,STATION WAGON - SMALL,3.5,6,AS6,X,14.1,8.4,12.2,23,281
Nissan,Nissan PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,A9,Z,19.1,13.1,17.1,17,404
Ford,Ford PICKUP 1.5L,PICKUP TRUCK - SMALL,1.5,4,M5,Z,9.1,6.7,8.3,34,198
Volkswagen,Volkswagen VAN 3.5L,VAN - PASSENGER,3.5,6,A9,X,15.7,7.9,13.1,22,309
Chevrolet,Chevrolet VAN 6.2L,VAN - PASSENGER,6.2,8,AS10,X,21.1,14.2,18.8,15,443
Lexus,Lexus SUV 3.6L,SUV - STANDARD,3.6,6,AS6,E,18.6,11.7,16.3,17,275
Chevrolet,Chevrolet PICKUP 3.3L,PICKUP TRUCK - STANDARD,3.3,6,AV,X,13.7,8.3,11.9,24,285
Chevrolet,Chevrolet VAN 5.3L,VAN - PASSENGER,5.3,8,AS8,X,17.6,10.7,15.3,18,359
Ford,Ford VAN 3.3L,VAN - PASSENGER,3.3,6,M5,X,13.3,9.1,11.9,24,283
Toyota,Toyota SUV 1.5L,SUV - SMALL,1.5,4,M5,Z,11.3,5.0,9.2,31,217
Audi,Audi SUV 3.6L,SUV - SMALL,3.6,6,AS6,E,20.5,10.9,17.3,16,285
Ford,Ford STATION 1.5L,STATION WAGON - SMALL,1.5,4,M6,E,11.2,5.8,9.4,30,154
Hyundai,Hyundai SUV 3.6L,SUV - SMALL,3.6,6,AS8,X,15.1,10.6,13.6,21,315
Toyota,Toyota MINICOMPACT 1.8L,MINICOMPACT,1.8,4,AS6,Z,9.0,5.4,7.8,36,184
Toyota,Toyota TWO-SEATER 3.0L,TWO-SEATER,3.0,6,AV,D,10.7,6.5,9.3,30,250
Mercedes-Benz,Mercedes-Benz FULL-SIZE 4.0L,FULL-SIZE,4.0,8,A9,X,16.5,7.5,13.5,21,315
Mercedes-Benz,Mercedes-Benz STATION 3.0L,STATION WAGON - SMALL,3.0,6,A9,Z,14.9,6.8,12.2,23,282
Audi,Audi SUV 3.5L,SUV - SMALL,3.5,6,M6,Z,14.6,7.1,12.1,23,274
Chevrolet,Chevrolet SUV 5.3L,SUV - STANDARD,5.3,8,AS8,X,18.9,12.6,16.8,17,393
Chevrolet,Chevrolet VAN 3.3L,VAN - PASSENGER,3.3,6,AS6,E,17.7,11.7,15.7,18,265
Dodge,Dodge FULL-SIZE 3.6L,FULL-SIZE,3.6,6,A9,X,14.7,6.3,11.9,24,281
Porsche,Porsche TWO-SEATER 1.8L,TWO-SEATER,1.8,4,M5,X,8.9,5.9,7.9,36,182
Mercedes-Benz,Mercedes-Benz MINIVAN 2.4L,MINIVAN,2.4,4,A9,Z,12.3,5.7,10.1,28,245
BMW,BMW MID-SIZE 3.5L,MID-SIZE,3.5,6,AS6,Z,15.5,10.7,13.9,20,323
Nissan,Nissan PICKUP 2.5L,PICKUP TRUCK - SMALL,2.5,4,AS6,Z,11.9,7.7,10.5,27,249
Mercedes-Benz,Mercedes-Benz VAN 1.8L,VAN - PASSENGER,1.8,4,AV,Z,12.5,6.8,10.6,27,250
Ford,Ford PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,AS8,X,12.4,5.5,10.1,28,236
Chevrolet,Chevrolet VAN 3.3L,VAN - PASSENGER,3.3,6,AS6,X,13.9,9.1,12.3,23,287
Volkswagen,Volkswagen SUV 2.5L,SUV - STANDARD,2.5,4,AM7,X,11.7,6.3,9.9,29,228
Honda,Honda STATION 2.0L,STATION WAGON - SMALL,2.0,3,A8,Z,9.9,5.7,8.5,33,198
Ford,Ford VAN 2.7L,VAN - PASSENGER,2.7,6,M6,X,11.9,8.0,10.6,27,245
Chevrolet,Chevrolet PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,20.0,10.7,16.9,17,393
Chevrolet,Chevrolet SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,AM7,X,11.7,5.7,9.7,29,232
Honda,Honda MINIVAN 4.0L,MINIVAN,4.0,8,M6,N,15.4,9.7,13.5,21,241
Ford,Ford PICKUP 6.2L,PICKUP TRUCK - STANDARD,6.2,8,AS6,D,19.4,9.8,16.2,17,433
Ford,Ford PICKUP 2.7L,PICKUP TRUCK - STANDARD,2.7,6,AV,E,19.5,8.7,15.9,18,265
Jeep,Jeep STATION 3.6L,STATION WAGON - SMALL,3.6,6,M6,Z,15.8,7.7,13.1,22,309
Chevrolet,Chevrolet SUBCOMPACT 1.8L,SUBCOMPACT,1.8,4,A6,D,8.2,4.9,7.1,40,187
Honda,Honda SUBCOMPACT 1.8L,SUBCOMPACT,1.8,4,AM7,X,10.7,4.4,8.6,33,192
Chevrolet,Chevrolet MID-SIZE 3.0L,MID-SIZE,3.0,6,AS6,X,12.5,6.5,10.5,27,243
Ford,Ford PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,AS10,X,19.9,9.1,16.3,17,379
Chevrolet,Chevrolet COMPACT 1.5L,COMPACT,1.5,4,M5,X,11.7,5.7,9.7,29,229
Volkswagen,Volkswagen MID-SIZE 2.0L,MID-SIZE,2.0,4,A8,Z,10.2,6.9,9.1,31,213
GMC,GMC SUBCOMPACT 1.5L,SUBCOMPACT,1.5,4,AS8,Z,9.8,6.2,8.6,33,204
GMC,GMC SUV 3.5L,SUV - STANDARD,3.5,6,A9,X,14.8,6.7,12.1,23,288
Mercedes-Benz,Mercedes-Benz MID-SIZE 2.0L,MID-SIZE,2.0,4,AS8,X,10.2,6.6,9.0,31,216
Honda,Honda SUV 4.0L,SUV - SMALL,4.0,8,AS8,Z,19.1,9.2,15.8,18,372
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,AS10,X,12.9,6.3,10.7,26,255
BMW,BMW SUV 1.8L,SUV - STANDARD,1.8,4,AS6,Z,11.0,5.3,9.1,31,209
Lexus,Lexus SUV 2.4L,SUV - SMALL,2.4,4,AM7,Z,12.9,6.3,10.7,26,256
Ford,Ford SUV 5.3L,SUV - STANDARD,5.3,8,AS6,E,28.1,12.2,22.8,12,379
Ford,Ford TWO-SEATER 2.0L,TWO-SEATER,2.0,4,A9,X,9.5,6.2,8.4,34,202
Chevrolet,Chevrolet VAN 2.7L,VAN - PASSENGER,2.7,6,A9,X,13.9,6.1,11.3,25,268
Ford,Ford VAN 6.2L,VAN - PASSENGER,6.2,8,A9,X,20.1,14.4,18.2,16,433
Chevrolet,Chevrolet PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,A9,D,15.6,10.8,14.0,20,371
Audi,Audi MINICOMPACT 2.0L,MINICOMPACT,2.0,4,AS10,Z,11.5,4.9,9.3,30,222
Mercedes-Benz,Mercedes-Benz PICKUP 3.5L,PICKUP TRUCK - SMALL,3.5,6,AS6,Z,16.8,7.5,13.7,21,322
Lexus,Lexus VAN 2.0L,VAN - CARGO,2.0,3,A6,X,11.2,4.6,9.0,31,212
Jeep,Jeep MID-SIZE 4.0L,MID-SIZE,4.0,8,AM7,X,17.2,9.4,14.6,19,340
BMW,BMW SUV 2.4L,SUV - SMALL,2.4,4,A8,X,11.9,5.3,9.7,29,232
Chevrolet,Chevrolet PICKUP 5.0L,PICKUP TRUCK - STANDARD,5.0,8,A9,X,19.0,9.7,15.9,18,374
Mercedes-Benz,Mercedes-Benz SUBCOMPACT 2.5L,SUBCOMPACT,2.5,4,A9,Z,12.3,6.0,10.2,28,240
Nissan,Nissan SUBCOMPACT 5.0L,SUBCOMPACT,5.0,8,AS10,X,20.4,10.8,17.2,16,415
Chevrolet,Chevrolet PICKUP 5.3L,PICKUP TRUCK - STANDARD,5.3,8,A6,X,21.2,10.1,17.5,16,420
Nissan,Nissan MID-SIZE 3.5L,MID-SIZE,3.5,6,AS6,Z,16.6,8.8,14.0,20,332
Mercedes-Benz,Mercedes-Benz COMPACT 4.0L,COMPACT,4.0,8,AS6,E,22.6,11.2,18.8,15,317
Audi,Audi SUV 2.4L,SUV - SMALL,2.4,4,AS6,X,13.0,6.1,10.7,26,254
Mercedes-Benz,Mercedes-Benz SUV 2.0L,SUV - STANDARD,2.0,4,A9,Z,10.6,6.7,9.3,30,217
BMW,BMW STATION 3.0L,STATION WAGON - SMALL,3.0,6,AM7,X,13.3,9.1,11.9,24,276
Porsche,Porsche COMPACT 2.0L,COMPACT,2.0,4,AV,X,10.3,7.3,9.3,30,219
Hyundai,Hyundai PICKUP 3.5L,PICKUP TRUCK - SMALL,3.5,6,M6,Z,15.8,10.7,14.1,20,342
Ford,Ford MID-SIZE 5.0L,MID-SIZE,5.0,8,AV,X,19.9,9.7,16.5,17,399
Dodge,Dodge VAN 3.6L,VAN - CARGO,3.6,6,AM7,X,16.0,6.4,12.8,22,299
Toyota,Toyota MINICOMPACT 1.8L,MINICOMPACT,1.8,4,A8,X,11.5,4.9,9.3,30,218
Lexus,Lexus SUV 3.0L,SUV - SMALL,3.0,6,AV,Z,14.4,7.8,12.2,23,289
Jeep,Jeep MINIVAN 3.6L,MINIVAN,3.6,6,A9,X,15.5,7.1,12.7,22,300
Mercedes-Benz,Mercedes-Benz PICKUP 2.0L,PICKUP TRUCK - STANDARD,2.0,4,AV,Z,10.2,6.3,8.9,32,205
Ford,Ford VAN 2.0L,VAN - CARGO,2.0,4,M5,E,14.4,6.3,11.7,24,193
Chevrolet,Chevrolet PICKUP 3.6L,PICKUP TRUCK - STANDARD,3.6,6,M6,Z,16.0,7.9,13.3,21,317
Audi,Audi SUV 2.0L,SUV - SMALL,2.0,4,M6,X,9.5,5.9,8.3,34,197
Nissan,Nissan SUBCOMPACT 3.6L,SUBCOMPACT,3.6,6,AM7,D,13.5,6.0,11.0,26,293
Chevrolet,Chevrolet PICKUP 2.0L,PICKUP TRUCK - STANDARD,2.0,4,A8,X,9.4,5.2,8.0,35,186
Ford,Ford PICKUP 1.5L,PICKUP TRUCK - SMALL,1.5,4,A8,Z,9.2,4.4,7.6,37,172
GMC,GMC VAN 6.2L,VAN - PASSENGER,6.2,8,A9,X,19.5,13.2,17.4,16,402
Bugatti,Bugatti COMPACT 6.5L,COMPACT,6.5,12,AV,Z,27.7,13.6,23.0,12,537
Toyota,Toyota MINICOMPACT 1.5L,MINICOMPACT,1.5,4,M5,Z,9.6,4.8,8.0,35,190
